,bike_name,price,city,kms_driven,owner,age,power,brand
7472,6.0,33000.0,2.0,13007.0,2,6.0,150.0,4
7478,6.0,40000.0,2.0,37000.0,1,7.0,150.0,4
7537,6.0,45000.0,7.0,34900.0,1,7.0,150.0,4
7543,6.0,49000.0,1.0,13959.0,1,4.0,150.0,4
7550,2.0,120000.0,7.0,45000.0,1,4.0,350.0,2
7601,6.0,25000.0,4.0,22917.0,1,9.0,150.0,4
7602,6.0,26000.0,4.0,37000.0,1,9.0,150.0,4
7699,2.0,96000.0,3.0,7794.0,1,7.0,350.0,2
7716,2.0,100000.0,2.0,30000.0,1,7.0,350.0,2
7737,2.0,115000.0,9.0,18832.0,1,5.0,350.0,2
7742,2.0,147000.0,3.0,11000.0,1,5.0,350.0,2
7755,2.0,130000.0,2.0,24000.0,1,4.0,350.0,2
7816,2.0,95500.0,2.0,18000.0,1,8.0,350.0,2
7825,2.0,107000.0,2.0,16505.0,1,5.0,350.0,2
7833,6.0,35000.0,2.0,19134.0,1,11.0,150.0,4
7841,6.0,22000.0,2.0,32000.0,1,13.0,150.0,4
7851,2.0,120000.0,2.0,23719.0,1,5.0,350.0,2
7856,2.0,134100.0,2.0,1700.0,1,4.0,350.0,2
7897,2.0,125000.0,3.0,13000.0,1,7.0,350.0,2
7902,2.0,99000.0,2.0,18000.0,2,7.0,350.0,2
8000,2.0,115000.0,2.0,26000.0,1,7.0,350.0,2
8008,2.0,107000.0,2.0,15000.0,1,7.0,350.0,2
8041,2.0,115000.0,4.0,16476.0,1,5.0,350.0,2
8047,4.0,48000.0,2.0,18533.0,1,5.0,180.0,1
8078,2.0,95000.0,6.0,7875.0,1,6.0,350.0,2
8148,2.0,101000.0,2.0,18894.0,1,5.0,350.0,2
8152,2.0,150000.0,3.0,76467.0,1,9.0,350.0,2
8217,2.0,105000.0,2.0,10581.0,1,4.0,350.0,2
8246,10.0,108400.0,2.0,3545.0,1,8.0,500.0,2
8251,1.0,54000.0,4.0,100.0,1,3.0,110.0,1
8263,4.0,55000.0,3.0,16956.0,1,7.0,180.0,1
8270,2.0,99000.0,4.0,16000.0,2,7.0,350.0,2
8345,2.0,113000.0,7.0,286055.0,1,5.0,350.0,2
8409,2.0,120000.0,2.0,3626.0,1,4.0,350.0,2
8422,2.0,145000.0,4.0,10300.0,1,4.0,350.0,2
8447,6.0,45000.0,3.0,26200.0,2,8.0,150.0,4
8457,2.0,124000.0,2.0,6154.0,1,4.0,350.0,2
8476,4.0,26000.0,2.0,61041.0,1,10.0,180.0,1
8482,2.0,140000.0,2.0,12739.0,1,3.0,350.0,2
8506,2.0,110000.0,4.0,29639.0,1,5.0,350.0,2
8534,4.0,60000.0,3.0,13608.0,1,5.0,180.0,1
8563,10.0,101001.0,1.0,28000.0,1,8.0,500.0,2
8564,2.0,80000.0,1.0,28097.0,1,10.0,350.0,2
8584,6.0,28000.0,9.0,31586.0,1,8.0,150.0,4
8587,2.0,127300.0,2.0,1400.0,1,5.0,350.0,2
8589,2.0,134100.0,9.0,2750.0,1,4.0,350.0,2
8605,2.0,131500.0,2.0,4200.0,1,4.0,350.0,2
8623,2.0,90000.0,2.0,46588.0,2,7.0,350.0,2
8670,2.0,100000.0,2.0,13190.0,1,4.0,350.0,2
8680,2.0,116800.0,2.0,17662.0,1,5.0,350.0,2
8711,2.0,125000.0,4.0,47757.0,1,4.0,350.0,2
8761,6.0,60000.0,3.0,13115.0,1,6.0,150.0,4
8811,2.0,150000.0,3.0,6410.0,1,4.0,350.0,2
9027,6.0,36000.0,2.0,14500.0,2,8.0,150.0,4
9072,12.0,41000.0,2.0,13800.0,1,5.0,125.0,6
9148,15.0,22000.0,2.0,22000.0,1,13.0,223.0,6
9152,6.0,38000.0,2.0,40826.0,1,8.0,150.0,4
9194,18.0,5000.0,2.0,82178.0,1,18.0,135.0,6
9203,2.0,90000.0,2.0,44000.0,1,10.0,350.0,2
9205,6.0,31000.0,2.0,58000.0,1,10.0,150.0,4
9235,2.0,150000.0,3.0,5400.0,1,8.0,350.0,2
9241,10.0,140000.0,2.0,8500.0,1,5.0,500.0,2
9245,2.0,105000.0,2.0,14779.0,1,4.0,350.0,2
9362,20.0,25000.0,2.0,48587.0,1,8.0,150.0,6
